movieId,movieTitle,createdById,createdAt,vote
1147,Thor: Ragnarok,cm2941ws30000f34owtbyuyxq,2024-10-1514:46:58.723,3
1052,The Good Dinosaur,cm2941ws30000f34owtbyuyxq,2024-10-1514:47:40.299,4
1103,Sing,cm2941ws30000f34owtbyuyxq,2024-10-1514:48:16.794,5
2,Batman,cm2941ws30000f34owtbyuyxq,2024-10-1514:48:30.581,5
573,Scary Movie 3,cm2941ws30000f34owtbyuyxq,2024-10-1514:48:43.827,3
1060,Mad Max: Fury Road,cm2941ws30000f34owtbyuyxq,2024-10-1515:28:26.596,5
1136,Kingsman: The Golden Circle,cm2941ws30000f34owtbyuyxq,2024-10-1515:29:50.834,5
1174,A Quiet Place,cm2941ws30000f34owtbyuyxq,2024-10-1515:30:00.102,5
346,Anastasia,cm2941ws30000f34owtbyuyxq,2024-10-1516:12:07.313,5
1134,Pirates of the Caribbean: Dead Men Tell No Tales,cm2941ws30000f34owtbyuyxq,2024-10-1516:12:15.419,4
736,Spider-Man 3,cm2941ws30000f34owtbyuyxq,2024-10-1418:04:52.285,3
469,The Beach,cm2941ws30000f34owtbyuyxq,2024-10-1418:04:46.470,5
470,Final Destination,cm2941ws30000f34owtbyuyxq,2024-10-1610:33:22.967,5
545,Solaris,cm2941ws30000f34owtbyuyxq,2024-10-1416:21:45.908,5
992,Man of Steel,cm2941ws30000f34owtbyuyxq,2024-10-1416:21:06.322,5
727,No Country for Old Men,cm2941ws30000f34owtbyuyxq,2024-10-1415:28:13.482,5
620,The Polar Express,cm2941ws30000f34owtbyuyxq,2024-10-1415:28:19.931,3
1101,Jack Reacher: Never Go Back,cm2941ws30000f34owtbyuyxq,2024-10-1415:28:09.432,5
1291,Encanto,cm2941ws30000f34owtbyuyxq,2024-10-1415:27:57.863,4
1173,Mission: Impossible - Fallout,cm2941ws30000f34owtbyuyxq,2024-10-1415:21:02.883,5
1299,Raya and the Last Dragon,cm2941ws30000f34owtbyuyxq,2024-10-1415:18:45.715,3
20,Back to the Future Part II,cm2941ws30000f34owtbyuyxq,2024-10-1415:18:15.663,5
1403,The Substance,cm2941ws30000f34owtbyuyxq,2024-10-1414:38:41.609,3
1047,The Peanuts Movie,cm2941ws30000f34owtbyuyxq,2024-10-1414:31:38.627,3
1020,Night at the Museum: Secret of the Tomb,cm2941ws30000f34owtbyuyxq,2024-10-1417:53:58.904,5
434,Universal Soldier: The Return,cm2941ws30000f34owtbyuyxq,2024-10-1417:50:11.282,5
11,Star Trek V: The Final Frontier,cm2941ws30000f34owtbyuyxq,2024-10-1414:40:32.078,3
862,The Karate Kid,cm2941ws30000f34owtbyuyxq,2024-10-1415:17:49.870,2
28,Erik the Viking,cm2941ws30000f34owtbyuyxq,2024-10-1415:14:19.929,2
1249,Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn),cm2941ws30000f34owtbyuyxq,2024-10-1414:33:18.360,2
1044,Poltergeist,cm2941ws30000f34owtbyuyxq,2024-10-1611:17:44.231,4
279,Crimson Tide,cm2941ws30000f34owtbyuyxq,2024-10-1611:19:25.279,2
1367,Fast X,cm2941ws30000f34owtbyuyxq,2024-10-1611:19:35.730,4
723,Harry Potter and the Order of the Phoenix,cm2941ws30000f34owtbyuyxq,2024-10-1611:23:08.224,5
686,Apocalypto,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:36:16.093,4
658,Lord of War,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:36:13.995,4
988,The Hangover Part III,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:36:11.974,3
1124,Transformers: The Last Knight,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:36:09.490,4
188,We're Back! A Dinosaur's Story,cm296c5dc0000yd5vu51v9hdz,2024-10-1415:35:55.758,1
1053,Run All Night,cm2941ws30000f34owtbyuyxq,2024-10-1611:23:20.345,3
374,Fear and Loathing in Las Vegas,cm2941ws30000f34owtbyuyxq,2024-10-1611:29:37.510,2
710,World Trade Center,cm2941ws30000f34owtbyuyxq,2024-10-1611:29:47.352,5
161,The Nightmare Before Christmas,cm2941ws30000f34owtbyuyxq,2024-10-1611:29:55.890,5
624,Shaun of the Dead,cm2941ws30000f34owtbyuyxq,2024-10-1611:33:37.431,4
693,The Hills Have Eyes,cm2941ws30000f34owtbyuyxq,2024-10-1611:37:17.866,2
148,Death Becomes Her,cm2941ws30000f34owtbyuyxq,2024-10-1611:37:26.640,2
534,Catch Me If You Can,cm2941ws30000f34owtbyuyxq,2024-10-1611:37:34.671,5
1309,Girl in the Basement,cm2941ws30000f34owtbyuyxq,2024-10-1415:28:17.339,3
866,Flipped,cm2941ws30000f34owtbyuyxq,2024-10-1612:33:51.467,3
1216,Midsommar,cm2941ws30000f34owtbyuyxq,2024-10-1612:33:53.957,5
1122,Coco,cm2941ws30000f34owtbyuyxq,2024-10-1612:33:57.590,5
108,Bugsy,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:01.600,2
451,Remember the Titans,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:04.125,5
1264,Tenet,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:06.412,5
1089,Alice Through the Looking Glass,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:09.821,4
591,The Haunted Mansion,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:17.115,3
1176,Pacific Rim: Uprising,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:20.956,4
137,Alien³,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:23.442,3
507,Blow,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:27.401,0
889,The Help,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:31.036,0
658,Lord of War,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:33.124,5
1180,Jurassic World: Fallen Kingdom,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:35.224,5
203,The Mask,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:37.712,5
718,Flushed Away,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:40.859,3
503,Rush Hour 2,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:42.757,5
155,Chaplin,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:47.579,5
1146,Daddy's Home 2,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:54.151,3
309,The Rock,cm2941ws30000f34owtbyuyxq,2024-10-1612:34:59.663,0
104,Top Girls,cm2941ws30000f34owtbyuyxq,2024-10-1612:35:02.152,0
704,The Pursuit of Happyness,cm2941ws30000f34owtbyuyxq,2024-10-1612:35:04.282,5
772,Valkyrie,cm2941ws30000f34owtbyuyxq,2024-10-1612:35:32.166,5
447,How the Grinch Stole Christmas,cm2941ws30000f34owtbyuyxq,2024-10-1612:35:52.330,5
1019,Sin City: A Dame to Kill For,cm296c5dc0000yd5vu51v9hdz,2024-10-1612:37:23.563,5
438,Jawbreaker,cm296c5dc0000yd5vu51v9hdz,2024-10-1612:37:32.033,0
163,Schindler's List,cm296c5dc0000yd5vu51v9hdz,2024-10-1612:37:34.981,0
114,Problem Child 2,cm296c5dc0000yd5vu51v9hdz,2024-10-1612:37:38.694,2
456,102 Dalmatians,cm296c5dc0000yd5vu51v9hdz,2024-10-1612:37:42.282,2
589,Out of Time,cm296c5dc0000yd5vu51v9hdz,2024-10-1612:38:29.007,1
243,Braveheart,cm2941ws30000f34owtbyuyxq,2024-10-1612:52:42.052,5
1300,The Tomorrow War,cm2941ws30000f34owtbyuyxq,2024-10-1612:52:46.156,4
1143,King Arthur: Legend of the Sword,cm2941ws30000f34owtbyuyxq,2024-10-1612:52:49.366,3
1311,Fear Street: 1978,cm2941ws30000f34owtbyuyxq,2024-10-1612:52:54.229,4
175,Tombstone,cm2941ws30000f34owtbyuyxq,2024-10-1612:52:57.433,0
604,White Chicks,cm2941ws30000f34owtbyuyxq,2024-10-1612:52:59.586,5
1432,It's What's Inside,cm2941ws30000f34owtbyuyxq,2024-10-1612:53:04.511,0
48,Days of Thunder,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:29.354,1
758,Norbit,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:31.563,1
337,Spawn,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:35.830,1
628,Meet the Fockers,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:38.973,3
197,The Man Without a Face,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:42.793,1
766,The Chronicles of Narnia: Prince Caspian,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:45.313,4
1133,Get Out,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:48.505,0
684,The Devil Wears Prada,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:51.152,0
111,The Commitments,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:57.146,0
86,If Looks Could Kill,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:53:59.315,0
1280,Trolls World Tour,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:01.623,0
904,The Smurfs,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:03.548,0
593,Ken Park,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:06.086,0
861,Shutter Island,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:07.823,0
511,Captain Corelli's Mandolin,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:09.751,0
667,King Kong,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:17.360,2
533,The Transporter,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:19.957,3
380,The Prince of Egypt,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:22.408,0
969,The Secret Life of Walter Mitty,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:25.812,4
340,Jackie Brown,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:29.097,0
1291,Encanto,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:31.516,3
1060,Mad Max: Fury Road,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:45.658,0
1207,Maleficent: Mistress of Evil,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:48.800,0
656,War of the Worlds,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:50.375,0
578,Freaky Friday,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:52.827,0
821,Halloween II,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:54.358,0
1265,Proximity,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:57.669,0
1278,Extraction,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:54:59.529,0
18,Cannibal Women in the Avocado Jungle of Death,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:01.469,0
368,Meet Joe Black,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:07.136,4
790,Quantum of Solace,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:20.065,0
1129,Below Her Mouth,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:22.681,0
890,Captain America: The First Avenger,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:25.229,4
1263,Z-O-M-B-I-E-S 2,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:27.101,0
449,High Fidelity,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:28.908,0
884,Harry Potter and the Deathly Hallows: Part 2,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:30.890,5
311,Mars Attacks!,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:33.939,4
1006,Whiplash,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:38.762,5
185,The Crush,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:55:40.950,0
467,Rules of Engagement,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:11.011,0
1012,The Book of Life,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:13.895,0
929,The Hobbit: An Unexpected Journey,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:16.050,0
434,Universal Soldier: The Return,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:17.883,0
798,Nim's Island,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:19.520,0
249,Bad Boys,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:22.853,4
201,The Shawshank Redemption,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:24.934,5
627,The Day After Tomorrow,cm2bvhvg7000045mtd46rgo5w,2024-10-1612:56:29.150,2
